2026-04-06 14:36:04,364 | INFO | scraper | Scrape finished with 25 records in buy mode for target 'South London' page 4 from https://www.rightmove.co.uk/property-for-sale/find.html with params={'locationIdentifier': 'REGION^92051', 'propertyTypes': 'flat,terraced', 'mustHave': 'parking,garden', 'index': '72'}
2026-04-06 14:36:05,296 | INFO | scraper | Scrape finished with 25 records in buy mode for target 'South London' page 5 from https://www.rightmove.co.uk/property-for-sale/find.html with params={'locationIdentifier': 'REGION^92051', 'propertyTypes': 'flat,terraced', 'mustHave': 'parking,garden', 'index': '96'}
2026-04-06 14:36:05,989 | INFO | scraper | Scrape finished with 25 records in buy mode for target 'Bromley' page 1 from https://www.rightmove.co.uk/property-for-sale/find.html with params={'locationIdentifier': 'REGION^225', 'propertyTypes': 'flat,terraced', 'mustHave': 'parking,garden', 'index': '0'}
2026-04-06 14:36:07,363 | INFO | scraper | Scrape finished with 25 records in buy mode for target 'Bromley' page 2 from https://www.rightmove.co.uk/property-for-sale/find.html with params={'locationIdentifier': 'REGION^225', 'propertyTypes': 'flat,terraced', 'mustHave': 'parking,garden', 'index': '24'}
2026-04-06 14:36:08,252 | INFO | scraper | Scrape finished with 25 records in buy mode for target 'Bromley' page 3 from https://www.rightmove.co.uk/property-for-sale/find.html with params={'locationIdentifier': 'REGION^225', 'propertyTypes': 'flat,terraced', 'mustHave': 'parking,garden', 'index': '48'}
2026-04-06 14:36:08,967 | INFO | scraper | Scrape finished with 25 records in buy mode for target 'Bromley' page 4 from https://www.rightmove.co.uk/property-for-sale/find.html with params={'locationIdentifier': 'REGION^225', 'propertyTypes': 'flat,terraced', 'mustHave': 'parking,garden', 'index': '72'}
2026-04-06 14:36:09,869 | INFO | scraper | Scrape finished with 25 records in buy mode for target 'Bromley' page 5 from https://www.rightmove.co.uk/property-for-sale/find.html with params={'locationIdentifier': 'REGION^225', 'propertyTypes': 'flat,terraced', 'mustHave': 'parking,garden', 'index': '96'}
2026-04-06 14:36:10,603 | INFO | scraper | Scrape finished with 25 records in buy mode for target 'Beckenham' page 1 from https://www.rightmove.co.uk/property-for-sale/find.html with params={'locationIdentifier': 'REGION^126', 'propertyTypes': 'flat,terraced', 'mustHave': 'parking,garden', 'index': '0'}
2026-04-06 14:36:11,372 | INFO | scraper | Scrape finished with 25 records in buy mode for target 'Beckenham' page 2 from https://www.rightmove.co.uk/property-for-sale/find.html with params={'locationIdentifier': 'REGION^126', 'propertyTypes': 'flat,terraced', 'mustHave': 'parking,garden', 'index': '24'}
2026-04-06 14:36:12,045 | INFO | scraper | Scrape finished with 25 records in buy mode for target 'Beckenham' page 3 from https://www.rightmove.co.uk/property-for-sale/find.html with params={'locationIdentifier': 'REGION^126', 'propertyTypes': 'flat,terraced', 'mustHave': 'parking,garden', 'index': '48'}
2026-04-06 14:36:12,766 | INFO | scraper | Scrape finished with 25 records in buy mode for target 'Beckenham' page 4 from https://www.rightmove.co.uk/property-for-sale/find.html with params={'locationIdentifier': 'REGION^126', 'propertyTypes': 'flat,terraced', 'mustHave': 'parking,garden', 'index': '72'}
