postcode,latitude,longitude,district
BR1 2TU,51.392496,0.046767,Bromley
BR1 2TW,51.3953,0.057127,Bromley
BR1 2TX,51.398436,0.039743,Bromley
BR1 2TY,51.392094,0.047109,Bromley
BR1 2TZ,51.391802,0.047886,Bromley
BR1 2UA,51.411093,0.034842,Bromley
BR1 2UB,51.411111,0.037978,Bromley
BR1 2UD,51.410344,0.03501,Bromley
BR1 2UE,51.400001,0.031417,Bromley
BR1 2UF,51.411793,0.038022,Bromley
BR1 2UG,51.400524,0.046377,Bromley
BR1 2UH,51.402598,0.031057,Bromley
BR1 2UJ,51.408747,0.031661,Bromley
BR1 2UL,51.402436,0.029986,Bromley
BR1 2UN,51.408226,0.017604,Bromley
BR1 2UP,51.408226,0.017604,Bromley
BR1 2UQ,51.401748,0.042723,Bromley
BR1 2UR,51.411093,0.034842,Bromley
BR1 2US,51.396376,0.046494,Bromley
BR1 2UT,51.408226,0.017604,Bromley
BR1 2UU,51.408226,0.017604,Bromley
BR1 2UW,51.402436,0.029986,Bromley
BR1 2UX,51.408226,0.017604,Bromley
BR1 2UY,51.408226,0.017604,Bromley
BR1 2UZ,51.408226,0.017604,Bromley
BR1 2WA,51.412639,0.042115,Bromley
