borough_code,borough_name,avg_price,population,hectares,population_per_hectare,crime_count,amenity_count,amenity_diversity,crime_per_capita
E05000502,Redbridge,236802.1797752809,590284,9624.0,61.33458021675,47390,,,0.08028338901274641
E05000503,Redbridge,236802.1797752809,604753,14376.0,42.06684752375,47390,,,0.07836257116541795
E05000504,Redbridge,236802.1797752809,561577,8740.0,64.25366132725,47390,,,0.08438735916891184
E05000505,Redbridge,236802.1797752809,608280,6592.0,92.27548543725,47390,,,0.0779082001709739
E05000506,Redbridge,236802.1797752809,571675,22568.0,25.33122119725,47390,,,0.08289675077622775
E05000507,Redbridge,236802.1797752809,940819,5148.0,182.7542735,47390,,,0.05037100653792068
E05000508,Redbridge,236802.1797752809,631239,7536.0,83.7631369425,47390,,,0.0750745755569602
E05000509,Redbridge,236802.1797752809,467093,12300.0,37.97504065175,47390,,,0.10145731149899484
E05000510,Redbridge,236802.1797752809,870081,8468.0,102.74929144724999,47390,,,0.0544661933773982
E05000511,Redbridge,236802.1797752809,534603,9376.0,57.01823805575,47390,,,0.08864521897557627
E05000512,Redbridge,236802.1797752809,845757,8328.0,101.55583573599999,47390,,,0.056032642945905264
E05000513,Redbridge,236802.1797752809,541803,7944.0,68.20279456325,47390,,,0.08746721594380245
E05000514,Redbridge,236802.1797752809,743243,6008.0,123.70888815225001,47390,,,0.06376111177636386
E05000515,Redbridge,236802.1797752809,503720,20792.0,24.22662562525,47390,,,0.09408004446914953
E05000516,Richmond Upon Thames,447609.3595505618,423459,12040.0,35.17101328875,23329,,,0.0550915200763238
E05000517,Richmond Upon Thames,447609.3595505618,479894,23340.0,20.56101113925,23329,,,0.04861281866412166
E05000518,Richmond Upon Thames,447609.3595505618,469019,7672.0,61.133863399999996,23329,,,0.04973998921152448
E05000519,Richmond Upon Thames,447609.3595505618,459516,37784.0,12.161655727,23329,,,0.05076863482446748
E05000520,Richmond Upon Thames,447609.3595505618,449835,27508.0,16.352879162249998,23329,,,0.05186123800949237
E05000521,Richmond Upon Thames,447609.3595505618,385569,7800.0,49.43192307675,23329,,,0.06050538295350508
E05000522,Richmond Upon Thames,447609.3595505618,464013,10984.0,42.2444464675,23329,,,0.050276608629499606
E05000523,Richmond Upon Thames,447609.3595505618,469172,7648.0,61.345711297499996,23329,,,0.049723768681848024
E05000524,Richmond Upon Thames,447609.3595505618,501178,14300.0,35.047412588,23329,,,0.04654833212950289
E05000525,Richmond Upon Thames,447609.3595505618,534088,7752.0,68.896800826,23329,,,0.04368006770419856
E05000526,Richmond Upon Thames,447609.3595505618,532179,11200.0,47.5159821425,23329,,,0.04383675417481712
E05000527,Richmond Upon Thames,447609.3595505618,548348,8024.0,68.3384845465,23329,,,0.04254415079475078
E05000528,Richmond Upon Thames,447609.3595505618,468221,10768.0,43.482633729499995,23329,,,0.049824762238344714
E05000529,Richmond Upon Thames,447609.3595505618,454086,6908.0,65.73335263425,23329,,,0.051375730588478837
E05000530,Richmond Upon Thames,447609.3595505618,472353,17184.0,27.487953911250003,23329,,,0.04938891041233992
E05000531,Richmond Upon Thames,447609.3595505618,466870,7848.0,59.489041793750005,23329,,,0.04996894210379763
E05000532,Richmond Upon Thames,447609.3595505618,469304,9824.0,47.77117263825,23329,,,0.049709782997800996
E05000533,Richmond Upon Thames,447609.3595505618,462327,6492.0,71.21487985249999,23329,,,0.05045995583212748
E05000534,Southwark,312693.202247191,567564,3740.0,151.75508020499998,77812,,,0.13709819509341678
E05000535,Southwark,312693.202247191,734502,3900.0,188.33384616,77812,,,0.1059384453684265
E05000536,Southwark,312693.202247191,956035,7052.0,135.5693420295,77812,,,0.08139032566799333
E05000537,Southwark,312693.202247191,666824,3292.0,202.5589307425,77812,,,0.11669046105119192
E05000538,Southwark,312693.202247191,510736,12936.0,39.48175633875,77812,,,0.15235268318661696
E05000539,Southwark,312693.202247191,557908,4076.0,136.8763493575,77812,,,0.13947102389641303
E05000540,Southwark,312693.202247191,727112,4576.0,158.8968531475,77812,,,0.10701515034822696
E05000541,Southwark,312693.202247191,607219,3508.0,173.095496,77812,,,0.128144870302148
E05000542,Southwark,312693.202247191,831908,4820.0,172.5950207425,77812,,,0.09353438120561408
E05000543,Southwark,312693.202247191,1045757,5744.0,182.0607590495,77812,,,0.07440734319732022
E05000544,Southwark,312693.202247191,634292,3328.0,190.592548075,77812,,,0.12267536087480214
E05000545,Southwark,312693.202247191,597232,5288.0,112.9409984875,77812,,,0.13028772738232378
E05000546,Southwark,312693.202247191,648580,3488.0,185.94610092,77812,,,0.11997286379475161
E05000547,Southwark,312693.202247191,574259,9012.0,63.721593430999995,77812,,,0.1354998354401063
E05000548,Southwark,312693.202247191,747303,5328.0,140.2595720775,77812,,,0.10412376238286211
E05000549,Southwark,312693.202247191,818773,5968.0,137.19386729675,77812,,,0.09503488756957057
E05000550,Southwark,312693.202247191,674304,3892.0,173.25385406,77812,,,0.115396023158694
E05000551,Southwark,312693.202247191,530318,5324.0,99.60894064425,77812,,,0.14672705810475978
E05000552,Southwark,312693.202247191,747468,7604.0,98.29931614575,77812,,,0.1041007775583704
E05000553,Southwark,312693.202247191,774483,5560.0,139.2955036025,77812,,,0.1004696035936231
E05000554,Southwark,312693.202247191,521157,11152.0,46.732155668000004,77812,,,0.14930625512081772
E05000555,Sutton,221764.3033707865,438275,19920.0,22.00175702775,25576,,,0.05835605498830643
E05000556,Sutton,221764.3033707865,454666,12244.0,37.1337798105,25576,,,0.05625228189484149
E05000557,Sutton,221764.3033707865,458217,9348.0,49.01765083325,25576,,,0.05581634902240641
E05000558,Sutton,221764.3033707865,470866,8108.0,58.074247656249995,25576,,,0.05431693942650351
E05000559,Sutton,221764.3033707865,444728,28224.0,15.7570861675,25576,,,0.0575093090608192
E05000560,Sutton,221764.3033707865,470544,15752.0,29.872016251999998,25576,,,0.05435410928627291
E05000561,Sutton,221764.3033707865,481266,7624.0,63.125131165000006,25576,,,0.05314316822713427
E05000562,Sutton,221764.3033707865,521814,6000.0,86.9690000005,25576,,,0.049013633210300986
E05000563,Sutton,221764.3033707865,476209,7924.0,60.097046946,25576,,,0.053707510777830744
E05000564,Sutton,221764.3033707865,640948,5240.0,122.31832061475,25576,,,0.039903393098972145
E05000565,Sutton,221764.3033707865,511440,7500.0,68.192,25576,,,0.05000782105427812
E05000566,Sutton,221764.3033707865,443848,5088.0,87.23427672950001,25576,,,0.05762333050954381
E05000567,Sutton,221764.3033707865,487282,7116.0,68.47695334425,25576,,,0.05248706088055787
E05000568,Sutton,221764.3033707865,477428,5928.0,80.53778677425001,25576,,,0.053570381293095506
E05000569,Sutton,221764.3033707865,506603,6468.0,78.32452071750001,25576,,,0.05048529124383393
E05000570,Sutton,221764.3033707865,473434,6876.0,68.85311227475,25576,,,0.0540223135642983
E05000571,Sutton,221764.3033707865,608654,8220.0,74.0454987835,25576,,,0.04202058969463768
E05000572,Sutton,221764.3033707865,552461,7828.0,70.57498722599999,25576,,,0.04629467057403147
E05000573,Tower Hamlets,288335.91011235956,631833,3292.0,191.9298298875,70814,,,0.11207708365976453
E05000574,Tower Hamlets,288335.91011235956,655687,3524.0,186.0632803675,70814,,,0.10799970107688577
E05000575,Tower Hamlets,288335.91011235956,1791078,11868.0,150.916582408,70814,,,0.03953708325377231
E05000576,Tower Hamlets,288335.91011235956,930353,7432.0,125.182050592,70814,,,0.0761151949851293
E05000577,Tower Hamlets,288335.91011235956,541290,5388.0,100.46213808375,70814,,,0.13082451181436938
E05000578,Tower Hamlets,288335.91011235956,987973,4296.0,229.9750931175,70814,,,0.07167604782721795
E05000579,Tower Hamlets,288335.91011235956,1080869,4896.0,220.76572712749999,70814,,,0.06551580256256771
E05000580,Tower Hamlets,288335.91011235956,820324,4568.0,179.58056041499998,70814,,,0.08632442790897256
E05000581,Tower Hamlets,288335.91011235956,625408,3600.0,173.724444445,70814,,,0.11322848444535408
E05000582,Tower Hamlets,288335.91011235956,711914,4280.0,166.3350467225,70814,,,0.0994698797888509
